"Artist","EndDate","Period"
"Cedric Wright",1959,"Abstract Expressionism"
"Diane Arbus",1971,"Pop Art/Minimalism"
"Louise Bourgeois",2010,"Contemporary Art"
"Hans Bellmer",1975,"Pop Art/Minimalism"
"Eugène Atget",1927,"Dada/Surrealism"
"Roger Chastel",1981,"Postmodernism/Y2K Resurgence"
"Gordon Parks",2006,"Contemporary Art"
"José Antonio Attolini Lack",2012,"Contemporary Art"
"Aleksandr Rodchenko",1956,"Abstract Expressionism"
"Ellsworth Kelly",2015,"Contemporary Art"
"Joan Miró",1983,"Postmodernism/Y2K Resurgence"
"W. Eugene Smith",1978,"Pop Art/Minimalism"
"Ludwig Mies van der Rohe",1969,"Pop Art/Minimalism"
"Alexander Calder",1976,"Pop Art/Minimalism"
"André Derain",1954,"Abstract Expressionism"
"Eugène Atget",1927,"Dada/Surrealism"
"Jackson Pollock",1956,"Abstract Expressionism"
"Henri Laurens",1954,"Abstract Expressionism"
"Jimmy DeSana",1990,"Postmodernism/Y2K Resurgence"
"Eugène Atget",1927,"Dada/Surrealism"
"Lilly Reich",1947,"Abstract Expressionism"
"Ree Morton",1977,"Pop Art/Minimalism"
"David Goldblatt",2018,"Contemporary Art"
"Willi Baumeister",1955,"Abstract Expressionism"
"Kurt Kranz",1997,"Postmodernism/Y2K Resurgence"
"William T. Wiley",2020,"Contemporary Art"
"Ludwig Mies van der Rohe",1969,"Pop Art/Minimalism"
"E. McKnight Kauffer",1954,"Abstract Expressionism"
"Eugène Atget",1927,"Dada/Surrealism"
"Roger Vieillard",1989,"Postmodernism/Y2K Resurgence"
"Jörg Immendorff",2007,"Contemporary Art"
"Frédéric Bruly Bouabré",2014,"Contemporary Art"
"Marc Chagall",1985,"Postmodernism/Y2K Resurgence"
"Michael Goldberg",2007,"Contemporary Art"
"Ludwig Mies van der Rohe",1969,"Pop Art/Minimalism"
"Oskar Kokoschka",1980,"Postmodernism/Y2K Resurgence"
"Frans Masereel",1972,"Pop Art/Minimalism"
"Eugène Atget",1927,"Dada/Surrealism"
"Michael Schmidt",2014,"Contemporary Art"
"Francis Picabia",1953,"Abstract Expressionism"
"Robert Frank",2019,"Contemporary Art"
"Susan Rothenberg",2020,"Contemporary Art"
"Leopoldo Méndez",1969,"Pop Art/Minimalism"
"Henri Matisse",1954,"Abstract Expressionism"
"Michael Schmidt",2014,"Contemporary Art"
"Ladislav Sutnar",1976,"Pop Art/Minimalism"
"Ludwig Mies van der Rohe",1969,"Pop Art/Minimalism"
"Thomas Bewick",1828,"Romanticism"
"Georges Rouault",1958,"Abstract Expressionism"
"August Sander",1964,"Pop Art/Minimalism"
"Max Klinger",1920,"Dada/Surrealism"
"Elaine Lustig Cohen",2016,"Contemporary Art"
"Leonard Baskin",2000,"Contemporary Art"
"Marc Chagall",1985,"Postmodernism/Y2K Resurgence"
"Pavel Tchelitchew",1957,"Abstract Expressionism"
"William T. Wiley",2020,"Contemporary Art"
"Georgi Zelma",1984,"Postmodernism/Y2K Resurgence"
"Larry Rivers",2002,"Contemporary Art"
"György Sándor Ligeti",2006,"Contemporary Art"
"Ludwig Mies van der Rohe",1969,"Pop Art/Minimalism"
"George Maciunas",1978,"Pop Art/Minimalism"
"Nicolas de Staël",1955,"Abstract Expressionism"
"René Demeurisse",1962,"Pop Art/Minimalism"
"León Ferrari",2013,"Contemporary Art"
"Solomon Telingater",1969,"Pop Art/Minimalism"
"Alighiero Boetti",1994,"Postmodernism/Y2K Resurgence"
"Roberto Matta",2002,"Contemporary Art"
"George Nelson",1986,"Postmodernism/Y2K Resurgence"
"Louise Bourgeois",2010,"Contemporary Art"
"Pavel Tchelitchew",1957,"Abstract Expressionism"
"Robert Heinecken",2006,"Contemporary Art"
"Fred Sandback",2003,"Contemporary Art"
"Dick Higgins",1998,"Postmodernism/Y2K Resurgence"
"Franz Wilhelm Seiwert",1933,"Dada/Surrealism"
"Emil Nolde",1956,"Abstract Expressionism"
"Robert Rauschenberg",2008,"Contemporary Art"
"Sidney Nolan",1992,"Postmodernism/Y2K Resurgence"
"Henri Matisse",1954,"Abstract Expressionism"
"Edo Murtić",2005,"Contemporary Art"
"Joaquín Torres-García",1949,"Abstract Expressionism"
"Fré Cohen",1943,"Abstract Expressionism"
